sentence,sentiment,processed_text,positive_score,negative_score,original_pos,original_neg,pos_low,pos_medium,pos_high,neg_low,neg_medium,neg_high,fuzzification_time,fuzzy_sentiment,defuzzified_value,defuzzification_time,final_sentiment,total_processing_time
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,love kindle dx cool fantastic right,0.627,0.248,0.627,0.248,0.0,0.6082130965593785,0.3917869034406215,0.504,0.496,0.0,1.7881393432617188e-05,5.605222028171079,5.16981696492274,0.009394168853759766,Neutral,0.009412050247192383
reading my kindle love it lee childs is good read,1,reading kindle love lee child good read,0.587,0.0,0.587,0.0,0.0,0.6970033296337403,0.3029966703662596,0.0,0.0,0.0,8.821487426757812e-06,8.290348672812152,5.829998335008352,0.009140968322753906,Neutral,0.009149789810180664
ok first assesment of the kindle it fucking rocks,1,ok first assesment kindle fucking rock,0.306,0.0,0.306,0.0,0.3207547169811321,0.6792452830188679,0.0,0.0,0.0,0.0,6.9141387939453125e-06,5.917087876731949,5.829998335008354,0.009180784225463867,Neutral,0.009187698364257812
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,love kindle mine month never looked back new big one huge need remorse,0.349,0.113,0.349,0.113,0.2253052164261932,0.7746947835738068,0.0,0.774,0.226,0.0,6.9141387939453125e-06,6.044264762797954,5.000869926434161,0.009126901626586914,Neutral,0.00913381576538086
fair enough but i have the kindle and i think it s perfect,1,fair enough kindle think perfect,0.667,0.0,0.667,0.0,0.0,0.5194228634850167,0.4805771365149834,0.0,0.0,0.0,5.0067901611328125e-06,8.193954418790703,5.829998335008363,0.009097814559936523,Neutral,0.009102821350097656
no it is too big i m quite happy with the kindle,1,big quite happy kindle,0.571,0.0,0.571,0.0,0.0,0.7325194228634851,0.26748057713651485,0.0,0.0,0.0,5.9604644775390625e-06,8.303902050424993,5.829998335008357,0.00908970832824707,Neutral,0.00909566879272461
fuck this economy i hate aig and their non loan given asses,0,fuck economy hate aig non loan given ass,0.0,0.682,0.0,0.682,0.0,0.0,0.0,0.0,0.6359999999999999,0.3640000000000001,4.76837158203125e-06,1.8285667129900054,1.6700066800267195,0.009093999862670898,Negative,0.00909876823425293
jquery is my new best friend,1,jquery new best friend,0.787,0.0,0.787,0.0,0.0,0.25305216426193117,0.7469478357380689,0.0,0.0,0.0,5.0067901611328125e-06,8.121225725642503,6.964733972483979,0.009194135665893555,Positive,0.009199142456054688
loves twitter,1,love twitter,0.808,0.0,0.808,0.0,0.0,0.20643729189789117,0.7935627081021088,0.0,0.0,0.0,4.76837158203125e-06,8.15575737000675,7.216916227895103,0.009063005447387695,Positive,0.009067773818969727
how can you not love obama he makes jokes about himself,1,love obama make joke,0.762,0.0,0.762,0.0,0.0,0.30854605993340734,0.6914539400665927,0.0,0.0,0.0,4.76837158203125e-06,8.077484721210833,6.675458017204974,0.009111166000366211,Neutral,0.009115934371948242
