sentence,sentiment,processed_text,positive_score,negative_score
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,loooooooovvvvvveee kindle dx cool fantastic right,0.457,0.31
reading my kindle love it lee childs is good read,1,reading kindle love lee child good read,0.587,0.0
ok first assesment of the kindle it fucking rocks,1,ok first assesment kindle fucking rock,0.306,0.0
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,love kindle mine month never looked back new big one huge need remorse,0.349,0.113
fair enough but i have the kindle and i think it s perfect,1,fair enough kindle think perfect,0.667,0.0
no it is too big i m quite happy with the kindle,1,big quite happy kindle,0.571,0.0
fuck this economy i hate aig and their non loan given asses,0,fuck economy hate aig non loan given ass,0.0,0.682
jquery is my new best friend,1,jquery new best friend,0.787,0.0
loves twitter,1,love twitter,0.808,0.0
how can you not love obama he makes jokes about himself,1,love obama make joke,0.762,0.0
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0,firmly believe obama pelosi zero desire civil charade slogan want destroy conservatism,0.242,0.212
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,1,house correspondent dinner last night whoopi barbara amp sherri went obama got standing ovation,0.0,0.0
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,1,watchin espn jus seen new nike commerical puppet lebron sh hilarious lmao,0.398,0.0
dear nike stop with the flywire that shit is a waste of science and ugly love,0,dear nike stop flywire shit waste science ugly love,0.313,0.548
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1,lebron best athlete generation time basketball related want get inter sport debate,0.355,0.0
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,talking guy last night telling die hard spur fan also told hate lebron james,0.108,0.423
i love lebron,1,love lebron,0.808,0.0
lebron is a beast but i m still cheering the a til the end,0,lebron beast still cheering til end,0.398,0.0
lebron is the boss,1,lebron bos,0.0,0.0
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1,lebron hometown hero lol love lakers let go cavs lol,0.691,0.0
lebron and zydrunas are such an awesome duo,1,lebron zydrunas awesome duo,0.577,0.0
lebron is a beast nobody in the nba comes even close,1,lebron beast nobody nba come even close,0.0,0.0
downloading apps for my iphone so much fun there literally is an app for just about anything,1,downloading apps iphone much fun literally app anything,0.32,0.0
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,1,good news call visa office saying everything fine relief sick scam stealing,0.318,0.437
awesome come back from via,1,awesome come back via,0.577,0.0
in montreal for a long weekend of r amp r much needed,1,montreal long weekend r amp r much needed,0.0,0.0
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1,booz allen hamilton bad as homegrown social collaboration platform way cool ttiv,0.146,0.222
mluc customer innovation award winner booz allen hamilton,1,mluc customer innovation award winner booz allen hamilton,0.664,0.0
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,1,current use nikon love much canon chose video feature mistake,0.288,0.164
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1,google always good place look mentioned worked mustang w dad,0.266,0.0
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0,played android google phone slide screen scare would break fucker fast still prefer iphone,0.115,0.359
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,u planning resume military tribunal guantanamo bay time trial aig exec chrysler debt holder,0.0,0.172
omg so bored amp my tattoooos are so itchy help aha,0,omg bored amp tattoooos itchy help aha,0.248,0.385
i m itchy and miserable,0,itchy miserable,0.0,1.0
no i m not itchy for now maybe later lol,0,itchy maybe later lol,0.406,0.304
rt i love the nerdy stanford human biology videos makes me miss school,1,rt love nerdy stanford human biology video make miss school,0.3,0.2
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,bit crazy steep learning curve lyx really good long doc anything shorter would insane,0.166,0.264
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,listening p danny gokey lt lt lt aww amazing lt much,0.297,0.0
is going to sleep then on a bike ride,1,going sleep bike ride,0.0,0.0
cant sleep my tooth is aching,0,cant sleep tooth aching,0.467,0.0
blah blah blah same old same old no plans today going back to sleep i guess,0,blah blah blah old old plan today going back sleep guess,0.0,0.344
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,glad didnt bay breaker today freaking degree san francisco wtf,0.181,0.398
obama administration must stop bonuses to aig ponzi schemers,0,obama administration must stop bonus aig ponzi schemer,0.299,0.188
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,started think citi really deep amp gon na survive turmoil gon na next aig,0.0,0.161
shaunwoo hate n on aig,0,shaunwoo hate n aig,0.0,0.649
you will not regret going to see star trek it was awesome,1,regret going see star trek awesome,0.376,0.257
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,annoying new trend internet people picking apart michael lewis malcolm gladwell nobody want read,0.081,0.169
highly recommend by malcolm gladwell,1,highly recommend malcolm gladwell,0.482,0.0
blink by malcolm gladwell amazing book and the tipping point,1,blink malcolm gladwell amazing book tipping point,0.388,0.0
malcolm gladwell might be my new man crush,1,malcolm gladwell might new man crush,0.0,0.242
omg the commercials alone on espn are going to drive me nuts,0,omg commercial alone espn going drive nut,0.0,0.25
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,playing twitter api sound fun may need take class find new friend like generate result api code,0.454,0.0
hello twitter api,1,hello twitter api,0.0,0.0
because the twitter api is slow and most client s aren t good,0,twitter api slow client good,0.42,0.0
yahoo answers can be a butt sometimes,0,yahoo answer butt sometimes,0.0,0.0
is scrapbooking with nic d,1,scrapbooking nic,0.0,0.0
rt five things wolfram alpha does better and vastly different than google,1,rt five thing wolfram alpha better vastly different google,0.266,0.0
just changed my default pic to a nike basketball cause bball is awesome,1,changed default pic nike basketball cause bball awesome,0.369,0.0
rt was just told that nike layoffs started today,0,rt told nike layoff started today,0.0,0.0
back when i worked for nike we had one fav word just do it,1,back worked nike one fav word,0.375,0.0
by the way i m totally inspired by this freaky nike commercial,1,way totally inspired freaky nike commercial,0.34,0.27
class the d is supposed to come today,1,class supposed come today,0.0,0.0
needs someone to explain lambda calculus to him,0,need someone explain lambda calculus,0.0,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,took graduate field exam computer science today nothing make feel like idiot lambda calculus,0.0,0.311
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,shout out east palo alto buildin karizmakaze cal gta also thanks profit doom universal hempz cracka,0.27,0.126
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,yeahhhhhhhhh really lived east palo alto could avoided guess summer,0.0,0.211
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,great stanford course thanks making available public really helpful informative starting,0.558,0.0
work til pm lets go lakers,1,work til pm let go lakers,0.0,0.0
damn you north korea,0,damn north korea,0.0,0.574
can we just go ahead and blow north korea off the map already,0,go ahead blow north korea map already,0.0,0.0
north korea please cease this douchebaggery china doesn t even like you anymore,0,north korea please cease douchebaggery china even like anymore,0.407,0.0
why the hell is pelosi in freakin china and on whose dime,0,hell pelosi freakin china whose dime,0.0,0.479
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,burning cash chrysler gm stop financial tsunami bailout mean taking handout,0.0,0.286
