sentence,sentiment,processed_text,positive_score,negative_score,original_pos,original_neg,pos_low,pos_medium,pos_high,neg_low,neg_medium,neg_high,fuzzy_sentiment
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,love kindle dx cool fantastic right,0.627,0.248,0.627,0.248,0.0,0.6082130965593785,0.3917869034406215,0.504,0.496,0.0,5.605222028171079
reading my kindle love it lee childs is good read,1,reading kindle love lee child good read,0.587,0.0,0.587,0.0,0.0,0.6970033296337403,0.3029966703662596,0.0,0.0,0.0,8.290348672812152
ok first assesment of the kindle it fucking rocks,1,ok first assesment kindle fucking rock,0.306,0.0,0.306,0.0,0.3207547169811321,0.6792452830188679,0.0,0.0,0.0,0.0,5.917087876731949
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,love kindle mine month never looked back new big one huge need remorse,0.349,0.113,0.349,0.113,0.2253052164261932,0.7746947835738068,0.0,0.774,0.226,0.0,6.044264762797954
fair enough but i have the kindle and i think it s perfect,1,fair enough kindle think perfect,0.667,0.0,0.667,0.0,0.0,0.5194228634850167,0.4805771365149834,0.0,0.0,0.0,8.193954418790703
no it is too big i m quite happy with the kindle,1,big quite happy kindle,0.571,0.0,0.571,0.0,0.0,0.7325194228634851,0.26748057713651485,0.0,0.0,0.0,8.303902050424993
fuck this economy i hate aig and their non loan given asses,0,fuck economy hate aig non loan given ass,0.0,0.682,0.0,0.682,0.0,0.0,0.0,0.0,0.6359999999999999,0.3640000000000001,1.8285667129900054
jquery is my new best friend,1,jquery new best friend,0.787,0.0,0.787,0.0,0.0,0.25305216426193117,0.7469478357380689,0.0,0.0,0.0,8.121225725642503
loves twitter,1,love twitter,0.808,0.0,0.808,0.0,0.0,0.20643729189789117,0.7935627081021088,0.0,0.0,0.0,8.15575737000675
how can you not love obama he makes jokes about himself,1,love obama make joke,0.762,0.0,0.762,0.0,0.0,0.30854605993340734,0.6914539400665927,0.0,0.0,0.0,8.077484721210833
